               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,             0.02729,            0.037459,             0.01904,             0.70815,              0.3091,             0.35865,             0.28503,            0.026274,            0.045742,            0.039285,           0.0096943,           0.0096943,           0.0096943
                  61,            0.027416,            0.038023,            0.018755,             0.70097,             0.30751,               0.364,             0.28933,            0.026259,            0.045618,            0.039064,            0.009684,            0.009684,            0.009684
                  62,            0.027159,            0.038032,            0.018664,             0.72886,             0.30899,             0.36559,             0.29078,            0.026284,            0.045764,            0.039027,           0.0096735,           0.0096735,           0.0096735
                  63,            0.027147,            0.037496,            0.018535,              0.7556,              0.3044,             0.36489,             0.29005,            0.026305,            0.045799,            0.038982,           0.0096628,           0.0096628,           0.0096628
                  64,            0.027015,            0.037666,            0.018031,             0.76671,             0.29823,             0.36714,             0.29256,            0.026293,             0.04582,            0.038884,            0.009652,            0.009652,            0.009652
                  65,            0.027361,            0.037954,            0.018127,             0.76675,             0.29963,             0.37189,             0.29696,            0.026277,            0.045839,            0.038802,            0.009641,            0.009641,            0.009641
                  66,            0.027226,            0.037723,            0.018066,             0.76463,             0.30035,             0.36839,             0.29349,            0.026264,            0.045909,            0.038767,           0.0096299,           0.0096299,           0.0096299
                  67,            0.026843,            0.037145,            0.017974,             0.78057,              0.2936,             0.37079,             0.29588,             0.02624,            0.045898,            0.038796,           0.0096186,           0.0096186,           0.0096186
                  68,            0.027162,            0.037096,            0.017702,             0.76408,             0.30019,             0.36977,             0.29517,            0.026229,             0.04597,            0.038764,           0.0096071,           0.0096071,           0.0096071
                  69,             0.02685,            0.037068,             0.01792,              0.7313,             0.31246,              0.3743,             0.29972,            0.026196,            0.045831,            0.038661,           0.0095955,           0.0095955,           0.0095955
                  70,            0.027123,            0.037583,            0.017627,             0.77905,             0.29421,             0.37549,             0.30093,            0.026156,            0.045836,            0.038624,           0.0095837,           0.0095837,           0.0095837
                  71,            0.026808,            0.037324,            0.017061,             0.76912,             0.30207,             0.37293,              0.2981,            0.026132,            0.045855,            0.038582,           0.0095717,           0.0095717,           0.0095717
                  72,            0.026776,             0.03686,            0.017038,             0.76229,             0.30619,             0.37481,             0.29928,            0.026119,            0.045908,            0.038529,           0.0095596,           0.0095596,           0.0095596
                  73,            0.026857,            0.036836,            0.016983,             0.80366,             0.29009,              0.3748,             0.30005,            0.026129,            0.045985,             0.03853,           0.0095473,           0.0095473,           0.0095473
                  74,             0.02676,            0.037169,            0.016688,             0.80204,             0.29095,             0.37583,             0.30065,            0.026136,            0.046015,            0.038511,           0.0095349,           0.0095349,           0.0095349
                  75,            0.026866,            0.037225,            0.016863,             0.80351,             0.29041,             0.37349,             0.29879,            0.026138,            0.046092,            0.038517,           0.0095223,           0.0095223,           0.0095223
                  76,            0.026723,            0.037174,            0.016743,             0.78661,             0.29786,             0.37677,             0.30097,            0.026135,            0.046128,            0.038537,           0.0095095,           0.0095095,           0.0095095
                  77,            0.026632,            0.036693,            0.016707,              0.7899,             0.29721,             0.37714,             0.30195,             0.02614,            0.046189,            0.038585,           0.0094966,           0.0094966,           0.0094966
                  78,            0.026978,            0.037586,            0.016656,             0.75669,             0.30831,             0.37684,              0.3021,            0.026142,            0.046207,            0.038623,           0.0094835,           0.0094835,           0.0094835
                  79,            0.026875,            0.037003,            0.016935,              0.7224,             0.31995,             0.37779,             0.30275,             0.02615,            0.046234,            0.038642,           0.0094703,           0.0094703,           0.0094703
                  80,            0.026626,            0.036581,             0.01661,             0.75777,             0.30607,             0.37861,             0.30371,            0.026152,            0.046218,            0.038662,           0.0094569,           0.0094569,           0.0094569
                  81,            0.026682,             0.03691,            0.016253,             0.76081,             0.30641,             0.37466,             0.29984,            0.026152,            0.046244,            0.038678,           0.0094434,           0.0094434,           0.0094434
                  82,            0.026564,            0.036709,            0.016331,             0.76164,             0.30538,             0.37398,             0.29941,            0.026149,             0.04625,            0.038689,           0.0094297,           0.0094297,           0.0094297
                  83,             0.02681,            0.036658,            0.016195,             0.76553,             0.30555,             0.37743,             0.30193,            0.026147,            0.046256,            0.038693,           0.0094158,           0.0094158,           0.0094158
                  84,            0.026624,            0.037077,            0.016138,             0.76878,              0.3055,             0.37673,             0.30103,            0.026138,            0.046217,            0.038685,           0.0094018,           0.0094018,           0.0094018
                  85,            0.026613,            0.036666,            0.016088,             0.77434,             0.30553,             0.37814,             0.30273,            0.026132,            0.046223,            0.038677,           0.0093877,           0.0093877,           0.0093877
                  86,            0.026346,            0.036212,            0.015784,             0.78203,             0.30491,             0.37664,             0.30099,            0.026124,            0.046204,            0.038675,           0.0093733,           0.0093733,           0.0093733
                  87,            0.026408,            0.036132,            0.015699,             0.77635,             0.30532,             0.37713,             0.30119,            0.026117,            0.046216,            0.038692,           0.0093589,           0.0093589,           0.0093589
                  88,            0.026571,            0.036657,            0.015764,             0.77482,             0.30611,             0.37687,             0.30086,            0.026113,            0.046222,            0.038702,           0.0093442,           0.0093442,           0.0093442
                  89,            0.026418,            0.036407,            0.015795,             0.76908,             0.30639,             0.37871,             0.30297,            0.026115,            0.046225,            0.038715,           0.0093295,           0.0093295,           0.0093295
                  90,            0.026369,            0.036263,            0.015668,             0.77806,             0.30598,             0.37848,             0.30252,            0.026114,            0.046272,            0.038703,           0.0093146,           0.0093146,           0.0093146
                  91,            0.026145,            0.036407,            0.015501,             0.75935,              0.3077,             0.37814,             0.30216,            0.026113,            0.046278,             0.03868,           0.0092995,           0.0092995,           0.0092995
                  92,            0.026325,            0.036233,            0.015278,             0.75838,              0.3082,             0.37998,             0.30428,            0.026106,            0.046304,             0.03868,           0.0092843,           0.0092843,           0.0092843
                  93,            0.026618,            0.036583,            0.015485,              0.7199,             0.32273,             0.37922,             0.30335,            0.026105,            0.046326,            0.038676,           0.0092689,           0.0092689,           0.0092689
                  94,            0.026028,            0.035862,            0.015242,             0.73129,             0.32156,             0.37987,             0.30262,              0.0261,            0.046323,            0.038671,           0.0092534,           0.0092534,           0.0092534
                  95,            0.026611,            0.036418,            0.015359,             0.73786,             0.31941,             0.37994,             0.30423,            0.026098,            0.046328,            0.038688,           0.0092377,           0.0092377,           0.0092377
                  96,            0.026184,            0.036276,            0.015397,             0.73996,             0.31972,             0.37731,             0.30243,            0.026092,            0.046349,            0.038702,           0.0092219,           0.0092219,           0.0092219
                  97,            0.026203,            0.036142,            0.014968,             0.74154,             0.31951,             0.37676,             0.30187,             0.02609,            0.046368,            0.038708,           0.0092059,           0.0092059,           0.0092059
                  98,            0.026286,            0.035783,            0.015121,              0.7413,             0.31943,             0.37667,               0.302,            0.026084,            0.046369,             0.03871,           0.0091898,           0.0091898,           0.0091898
                  99,            0.025991,             0.03599,            0.014817,             0.74657,             0.31468,             0.37776,             0.30293,            0.026078,            0.046375,            0.038706,           0.0091735,           0.0091735,           0.0091735
                 100,             0.02603,            0.035876,            0.014936,             0.75123,             0.31364,             0.38101,             0.30501,            0.026072,            0.046384,            0.038696,           0.0091571,           0.0091571,           0.0091571
                 101,             0.02609,            0.036069,             0.01493,             0.75448,             0.31201,             0.38183,             0.30575,            0.026072,            0.046407,            0.038694,           0.0091406,           0.0091406,           0.0091406
                 102,            0.025845,            0.035578,            0.014792,             0.75761,             0.31078,              0.3816,              0.3058,            0.026069,            0.046429,            0.038703,           0.0091239,           0.0091239,           0.0091239
                 103,            0.025928,            0.035453,             0.01471,             0.75491,             0.31242,             0.38296,             0.30707,            0.026064,            0.046433,            0.038702,           0.0091071,           0.0091071,           0.0091071
                 104,            0.026097,               0.036,            0.014693,             0.76336,             0.30729,             0.38323,             0.30838,            0.026062,            0.046455,            0.038701,           0.0090901,           0.0090901,           0.0090901
                 105,            0.026075,            0.035971,            0.014666,              0.7709,             0.30749,             0.38347,             0.30904,            0.026063,            0.046472,            0.038697,            0.009073,            0.009073,            0.009073
                 106,            0.025966,              0.0358,            0.014704,             0.78147,             0.30615,             0.38209,             0.30746,            0.026066,            0.046479,            0.038695,           0.0090557,           0.0090557,           0.0090557
                 107,            0.026017,            0.036037,            0.014734,             0.77681,             0.30566,             0.38185,             0.30687,            0.026066,            0.046501,            0.038692,           0.0090383,           0.0090383,           0.0090383
                 108,            0.025707,            0.035894,             0.01467,             0.73705,             0.31725,             0.38175,             0.30688,            0.026068,            0.046514,              0.0387,           0.0090208,           0.0090208,           0.0090208
                 109,            0.026024,               0.036,            0.014744,             0.78373,             0.30587,             0.38126,             0.30668,            0.026069,            0.046537,            0.038692,           0.0090031,           0.0090031,           0.0090031
                 110,            0.025948,            0.035509,            0.014428,             0.75931,             0.30952,             0.38121,             0.30648,            0.026074,            0.046549,            0.038692,           0.0089853,           0.0089853,           0.0089853
